Domain,Sub Domain,Product Name,Product Link,Review,Aspect1,Aspect2,Aspect3,Aspect4
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Lakmé pink lace"" This lipstick color is so beautiful totally matte and very good in for cheek color.
Totally recommend product.",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Lakmé pink lace"" This lipstick color is so beautiful totally matte and very good in for cheek color.
Totally recommend product.",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""“Amazing"""" Very Good Long Lasting Lip And Cheek Colour.. Smooth And Comfortable... Love It💄♥️",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""“Amazing"""" Looks Very Pretty 💄♥️",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Beautiful Colour"" Beautiful Colour it is",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""I Love this colour 🥰😍"" Nice colour smooth structure 😇",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""All time fort lipstick"" I just love the formulation of this lisps tick and amazing color payoff and so so so so so...….long lasting ❤️‍🔥 got free sample of MAC foundation ♥️♥️♥️😍",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Perfect pink shade"" This lipstick is very lightweight and bright pink colour... You can also use it as a cheek colour... Worth  the price",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""So good"" These lipsticks of lakme are so good and the formulation are on mousse type and when it get dry it become matte & non transfer. It can used in both the way on lips or cheeks....Read More",Pink,Liquid,Matte,Full Coverage
Lipstick,Lakme,lakme-9-to-5-weightless-matte-mousse-lip-cheek-color,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?productId=73137&pps=1&skuId=474176,"""Perfect for brown skin"" I just love this. It's pigmented,light weight
And most importantly the shade is Gorgeous 😍godd!! JUST LOVE IT.suits every skin and looks more gorgeous on brown beauties❤️an...Read More",Pink,Liquid,Matte,Full Coverage
